Area Code,name,Element Code,Element,Item Code,Item,crop_year,Value_log
356,India,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,14.262757839473378
356,India,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,6.8690144506657065
356,India,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,14.222974334070885
356,India,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,14.27735662962807
356,India,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,6.817173900750898
356,India,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,14.185694542535295
356,India,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,14.45102915534846
356,India,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,6.834646807161499
356,India,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,14.376839734353865
356,India,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,14.417638887782028
356,India,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,6.9071550989101045
356,India,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,14.415994602207002
356,India,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,14.43582733454801
356,India,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,6.918101571036281
356,India,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,14.445171186539689
356,India,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,14.462657254576031
356,India,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,6.934786618033168
356,India,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,14.488712901016648
356,India,5312,Area harvested,01341,Apples,2018,12.614868865984631
356,India,5412,Yield,01341,Apples,2018,8.953109906980231
356,India,5510,Production,01341,Apples,2018,14.660090872022197
356,India,5312,Area harvested,01341,Apples,2019,12.637858308703688
356,India,5412,Yield,01341,Apples,2019,8.925387904095269
356,India,5510,Production,01341,Apples,2019,14.655352549453859
356,India,5312,Area harvested,01341,Apples,2020,12.644330802262578
356,India,5412,Yield,01341,Apples,2020,9.113653244614532
356,India,5510,Production,01341,Apples,2020,14.850117872022436
356,India,5312,Area harvested,01341,Apples,2021,12.653961664405365
356,India,5412,Yield,01341,Apples,2021,8.891869140704522
356,India,5510,Production,01341,Apples,2021,14.637930513595574
356,India,5312,Area harvested,01341,Apples,2022,12.660331092405906
356,India,5412,Yield,01341,Apples,2022,9.014325488050225
356,India,5510,Production,01341,Apples,2022,14.766782644983117
356,India,5312,Area harvested,01341,Apples,2023,12.624786269856633
